id_dep,departamento,id_municipal,municipio,alcalde,partido,fundacion,telefono,email,web,twitter,facebook
1,Guatemala,101,Guatemala,Ricardo  Quiñonez Lemus,UNIONISTA,,,,,,
1,Guatemala,102,Santa Catarina Pinula,Sebastian  Siero Asturias,UNIONISTA,,,,,,
1,Guatemala,103,San José Pinula,Miguel Angel Solares Montenegro,UNE,,,,,,
1,Guatemala,104,San José del Golfo,Jose Rocael Chamale Enriquez,VAMOS,,,,,,
1,Guatemala,105,Palencia,Guadalupe Alberto Reyes Aguilar,UNE,,,,,,
1,Guatemala,106,Chinautla,Brenda Elizabeth Del Cid Medrano Montiel,UNE,,,,,,
1,Guatemala,107,San Pedro Ayampuc,Jose Fredy Pelaez Avalos,UNE,,,,,,
1,Guatemala,108,Mixco,Neto  Bran Montenegro,TODOS,,,,,,
1,Guatemala,109,San Pedro Sacatepéquez,Noe Leopoldo Boror Hernandez,CREO,,,,,,
1,Guatemala,110,San Juan Sacatepéquez,Juan Carlos Pellecer Agustin,TODOS,,,,,,
1,Guatemala,111,San Raymundo,Joel Humberto Choy Yoc,UCN,,,,,,
1,Guatemala,112,Chuarrancho,Alejandro  Gonzalez Xajap,UNE,,,,,,
1,Guatemala,113,Fraijanes,Wilton Leonardo Berreondo Figueroa,PHG,,,,,,
1,Guatemala,114,Amatitlán,Mainor Guillermo Orellana Mazariegos,VALOR,,,,,,
1,Guatemala,115,Villa Nueva,Javier Alejandro Gramajo Escobar,FUERZA,,,,,,
1,Guatemala,116,Villa Canales,Julio Daniel Marroquin Ordoñez,UNE,,,,,,
1,Guatemala,117,San Miguel Petapa,Mynor Rolando Morales Chavez,VALOR,,,,,,
2,El Progreso,201,Guastatoya,Jorge Antonio Orellana Pinto,UNE,,,,,,
2,El Progreso,202,Morazán,Marco Tulio Arriaza Cordova,UNE,,,,,,
2,El Progreso,203,San Agustín Acasaguastlán,Jose Manuel Marroquin Hichos,PHG,,,,,,
2,El Progreso,204,San Cristóbal Acasaguastlán,Edgar Humberto Castañeda Ruano,CREO,,,,,,
2,El Progreso,205,El Jícaro,Jose Francisco Mejia Flores,PC,,,,,,
2,El Progreso,206,Sansare,Alex Donaldo Castañeda Mejia,UNE,,,,,,
2,El Progreso,207,Sanarate,Victor Israel Guerra Zavala,UNE,,,,,,
2,El Progreso,208,San Antonio La Paz,Nubere Agustin Lopez Lopez,VAMOS,,,,,,
3,Sacatepéquez,301,Antigua Guatemala,Victor Hugo Del Pozo Coronado,TODOS,,,,,,
3,Sacatepéquez,302,Jocotenango,Marcus Alexander Gonzalez Perez,MarCus,,,,,,
3,Sacatepéquez,303,Pastores,Hugo Leonel Mendoza Reyes,MUP,,,,,,
3,Sacatepéquez,304,Sumpango,Carlos Enrique Cubur Sula,CCSS,,,,,,
3,Sacatepéquez,305,Santo Domingo Xenacoj,David Aniceto Aquino Chocoyo,FUERZA,,,,,,
3,Sacatepéquez,306,Santiago Sacatepéquez,Salomon  Itzol Pec,FUERZA,,,,,,
3,Sacatepéquez,307,San Bartolomé Milpas Altas,Rosalio  Axpuac Martinez,PC,,,,,,
3,Sacatepéquez,308,San Lucas Sacatepéquez,Jorge Adan Rodriguez Dieguez,UNE,,,,,,
3,Sacatepéquez,309,Santa Lucía Milpas Altas,Augusto Agustin Vicente,TODOS,,,,,,
3,Sacatepéquez,310,Magdalena Milpas Altas,Juan Francisco Perez Mendez,UNE,,,,,,
3,Sacatepéquez,311,Santa María de Jesús,Daniel  Sunun Sica,UNE,,,,,,
3,Sacatepéquez,312,Ciudad Vieja,Clemente Federico Arturo Bethancourt Sanchez,LIBRE,,,,,,
3,Sacatepéquez,313,San Miguel Dueñas,Jose Otilio Barrientos Cabrera,UNIONISTA,,,,,,
3,Sacatepéquez,314,Alotenango,Sergio Gonzalo Sul Civil,UNIDOS,,,,,,
3,Sacatepéquez,315,San Antonio Aguas Calientes,Elwin  Hernandez Zamora,PC,,,,,,
3,Sacatepéquez,316,Santa Catarina Barahona,Elmer Neftali Ordoñez Lopez,TODOS,,,,,,
4,Chimaltenango,401,Chimaltenango,Carlos Alexander Simaj Chan,UNE,,,,,,
4,Chimaltenango,402,San José Poaquil,Carlos  Similox Sisimit,VAMOS,,,,,,
4,Chimaltenango,403,San Martín Jilotepeque,Bartolome  Chocoj Camey,MAS UNIDOS,,,,,,
4,Chimaltenango,404,San Juan Comalapa,Justo Rufino Similox Pichiya,UNE,,,,,,
4,Chimaltenango,405,Santa Apolonia,Francisco  Tepaz Aju,UNE,,,,,,
4,Chimaltenango,406,Tecpán Guatemala,Obispo Pablo Puac Puac,TRIGO,,,,,,
4,Chimaltenango,407,Patzún,Guadalupe  Cojti Xulu,VAMOS,,,,,,
